No,Tipe,Soal,A,B,C,D,E,Kunci
1,PG,Bahasa pemrograman yang umum digunakan untuk pengembangan web backend adalah…,HTML,CSS,Python,Figma,,C
2,PG,Sistem operasi yang dikembangkan oleh Google untuk perangkat mobile adalah…,Windows,Android,Linux Mint,Ubuntu Server,,B
3,PG_KOMPLEKS,Pilih yang termasuk perangkat input komputer!,Keyboard,Monitor,Mouse,Printer,,"A,C"
1,PG,Bahasa pemrograman yang umum digunakan untuk pengembangan web backend adalah…,HTML,CSS,Python,Figma,,C
4,PG_KOMPLEKS,Pilih yang termasuk bilangan prima!,2,4,5,9,,"A,C"
5,BENAR_SALAH,Pernyataan berikut tentang jaringan komputer:,LAN adalah jaringan dalam skala kecil,WAN mencakup area sangat luas antar negara,Internet hanya bisa digunakan tanpa kabel,Modem berfungsi mengubah sinyal digital menjadi analog,,"BENAR,BENAR,SALAH,BENAR"
2,PG,Sistem operasi yang dikembangkan oleh Google untuk perangkat mobile adalah…,Windows,Android,Linux Mint,Ubuntu Server,,B
6,ISIAN,Hasil dari 15 × 4 adalah…,,,,,,60
3,PG_KOMPLEKS,Pilih yang termasuk perangkat input komputer!,Keyboard,Monitor,Mouse,Printer,,"A, C"
7,ISIAN,"Jika sebuah persegi memiliki sisi 8 cm, maka luasnya adalah…",,,,,,64
4,PG_KOMPLEKS,Pilih yang termasuk bilangan prima!,2,4,5,9,,"A, C"
5,BENAR-SALAH,"Pernyataan berikut tentang jaringan komputer:
LAN adalah jaringan dalam skala kecil : BENAR
WAN mencakup area sangat luas antar negara : BENAR
Internet hanya bisa digunakan tanpa kabel : SALAH
Modem berfungsi mengubah sinyal digital menjadi analog : BENAR",,,,,,
6,ISIAN,Hasil dari 15 × 4 adalah…,,,,,,60
7,ISIAN,"Jika sebuah persegi memiliki sisi 8 cm, maka luasnya adalah…",,,,,,64
8,MENJODOHKAN,Cocokkan istilah dengan definisinya!,CPU : Otak komputer,RAM : Penyimpanan sementara,SSD : Media penyimpanan permanen,GPU : Pengolah grafis,,
